FT_vit_b16,FT_vgg19_bn,FT_van_b3,FT_swin_base_patch4_window7_224_in22k,FT_resnetv2_101x3_bitm_in21k,FT_resnetv2_101,FT_resnet101,FT_convnext_base_in22k,FT_beitv2_base_patch16_224_in22k,FZ_vit_b16,FZ_vgg19_bn,FZ_van_b3,FZ_swin_base_patch4_window7_224_in22k,FZ_resnetv2_101x3_bitm_in21k,FZ_resnetv2_101,FZ_resnet101,FZ_convnext_base_in22k,FZ_beitv2_base_patch16_224_in22k,CAL_vit_b16,CAL_vgg19_bn,CAL_van_b3,CAL_swin_base_patch4_window7_224_in22k,CAL_resnetv2_101x3_bitm_in21k,CAL_resnetv2_101,CAL_resnet101,CAL_convnext_base_in22k,CAL_beitv2_base_patch16_224_in22k,CAL_AP_vit_b16,CAL_AP_vgg19_bn,CAL_AP_van_b3,CAL_AP_swin_base_patch4_window7_224_in22k,CAL_AP_resnetv2_101x3_bitm_in21k,CAL_AP_resnetv2_101,CAL_AP_resnet101,CAL_AP_convnext_base_in22k,CAL_AP_beitv2_base_patch16_224_in22k
82,78.77,86.46,87.82,86.42,82.65,81.66,87.7,85.82,58.23,47.81,55.81,68.33,52.47,46.18,44.08,62.28,55.67,85.28,86.05,92.07,92.18,91.79,81.59,82.4,92.99,90.41,85.18,84.97,92.23,91.6,91.09,81.13,81.13,92.8,90.43
86.57,86.51,89.24,90.32,86.95,88.68,85.96,80.47,90.7,62.36,47.11,62.42,76.26,62.72,47.05,47.31,67.42,64.33,90.57,90.56,94.47,94.3,93.57,91.55,89.97,94.42,91.95,90.34,89.93,94.42,94.09,93.4,91,89.08,94.18,91.89
47.64,30.7,39.17,50,46.39,15.56,11.53,36.94,2.78,29.31,28.61,37.5,41.53,38.75,26.25,21.53,41.11,28.61,35.42,25,53.61,45.14,43.61,29.72,31.11,56.53,23.61,33.75,24.17,51.25,41.25,39.58,27.08,36.25,56.25,16.67
87.7,76.02,79.04,90.62,88.77,76.68,76.59,84.47,87.24,86.22,62.16,70.01,90.9,87.12,58.44,62.93,87.86,90.43,88.58,79.92,88.02,90.9,89.7,85.82,86.23,91.52,90.07,88.54,78.1,87.64,90.75,89.21,84.09,84.67,91.54,89.16
89.92,85.7,91.25,92.29,91.62,89.36,86.39,88.16,92.59,65.48,31.84,41.46,59.4,50.54,32.18,36.16,55.24,41.44,91.88,88.49,94.78,94.12,94.66,89.41,89.97,94.67,94.88,91.66,88.02,94.69,93.98,94.21,88.75,89.41,94.57,94.65
90.89,85.56,95.18,88.08,88.91,90.13,90.83,86.9,85.26,87.74,85.08,95.34,88.7,89.23,83.67,86.22,89.08,90.02,91.57,87.52,95.36,88.94,88.76,91.81,92.5,89.94,87.41,91.48,86.84,95.27,88.51,88.07,90.79,91.78,89.87,82.76
99.39,94.06,95.96,99.62,99.39,92.33,90.98,99.48,83.96,98.77,86.33,92.47,99.64,99.29,84.14,84.67,99.54,99.51,99.31,95.16,97.79,99.63,99.22,96.36,96.66,99.52,94.79,99.3,94.21,97.82,99.63,99.17,96.15,96.36,99.51,94.49
89.82,81.83,88.53,92.37,90.7,85.38,84.45,90.68,91.51,82.88,60.47,70.19,91.06,86.49,57.53,55.58,90,90.38,90.68,85.38,90.45,92.57,90.66,86.88,86.95,92.78,92.48,90.54,84.7,90.14,92.54,89.94,86.08,86.72,92.52,92.34
66.04,53.74,64.66,73.59,69.8,59.76,59.15,67.04,71.64,53.23,29.39,31.64,67.45,56.44,26.4,28.59,61.27,66.6,68.25,57.48,72.25,76.02,72.25,62.44,62.52,75.53,75.43,67.99,55.95,71.86,75.7,68.29,60.52,61.15,75.32,74.12
95.07,91.71,94.81,95.74,95.45,92.45,89.31,93.41,93.87,87.49,75.99,80.11,86.82,82.58,74.86,70.05,84.59,73.68,96.12,92.65,96.77,96.91,95.13,94.89,94.94,96.93,96.37,95.99,92.08,96.67,96.98,94.84,94.73,94.8,96.74,96.4
83.94,71.77,82.32,88.82,86.32,74.43,75.01,84.44,60.83,79.08,51.5,58.71,87.5,80.73,45.72,52.42,81.32,87.16,86.36,80.22,87.71,90.19,88.29,85.27,84.64,90.51,90.11,86,78.89,87.22,89.91,87.69,82.26,83.02,90.19,88.73
93.75,92.18,95.13,94.71,94.17,92.26,92.87,92.91,86.55,91.59,89.51,92.79,94.33,92.99,88.42,89.5,93.96,93.74,94.3,92.9,95.26,95.04,93.93,93.38,94.18,94.88,94.99,94.3,92.4,95.18,95.09,93.43,92.91,93.43,94.99,94.85
37.88,44.73,63.42,50.34,68.54,51.38,51.78,41.91,44.41,40.34,32.54,32.47,38.15,41.91,21.48,23.13,39.02,26.13,37.19,61.66,72.48,54.21,56.06,49.02,52.99,82.82,69.52,36.2,58.81,68.85,53.54,55.25,45.96,50.69,83.03,70.02
32.64,54.39,34.26,29.56,50.1,29.49,27.24,33.54,9.18,17.12,21.13,22.21,36.61,28.51,16.52,13.14,32.4,15.97,53.1,49.51,65.08,76.05,73.1,32.22,36.5,68.46,69.07,53.59,48.6,64.72,76.18,71.36,29.52,29.94,68.89,66.48
17.53,21.8,9.71,13.09,22.81,7.86,10.88,2.19,2.87,13.4,10.39,10.34,21.61,16.27,7.1,6.46,14.76,6.71,21.15,18.53,20.88,48.9,32.67,20.83,20.45,31.53,41.8,20.9,17.84,23.65,50.67,32.25,20.02,21.9,33.54,39.97
25.44,30.28,20,26.72,36.89,15.39,14.72,24.89,8.39,22.89,24.22,25.06,34.61,28.22,22.67,14,36.39,22.28,25.89,24.44,25.5,37.45,38.11,21.11,28,35.72,35.11,24.33,24,25,37,35.67,20.5,23.83,35.33,32.83
93.6,82.49,90.26,96.09,95.76,86.33,85.1,94.36,95.71,90.24,71.4,76.78,96.08,93.81,65.43,65.23,95.23,94.85,94.26,85.89,93.36,95.93,94.24,90.67,91.57,95.91,94.69,94.02,84.92,93.1,95.83,93.94,89.95,91.01,95.66,93.59
